Image,Mean_Color,Num_Contours,Num_Edges,Text
0.jpg,"[119.8746412627551, 118.12143255739795, 129.38588169642858]",1,1379040,
1.jpg,"[120.31483179209184, 118.46233258928571, 129.44086814413265]",1,1453755,
10.jpg,"[119.33934550382654, 117.54308832908163, 128.58235012755102]",1,1320645,
100.jpg,"[107.66802853954081, 108.69232302295919, 119.9598612882653]",1,1001130,
101.jpg,"[107.86571269132654, 109.13089923469387, 119.79318797831633]",1,992715,
102.jpg,"[107.99029416454081, 109.45792809311224, 119.79356664540816]",1,981495,
103.jpg,"[108.30929129464286, 110.03617267219387, 120.25946667729592]",1,1021275,
104.jpg,"[108.12460140306122, 109.7997050382653, 119.92641900510205]",1,958290,
105.jpg,"[108.42920918367346, 110.1030572385204, 119.96197385204081]",1,965940,
106.jpg,"[109.50825095663265, 111.12406329719387, 121.08960459183673]",1,951660,
107.jpg,"[113.34255420918367, 114.1743463010204, 125.5013352997449]",1,982005,
108.jpg,"[116.45643335459184, 116.04175302933673, 127.3173828125]",1,1045500,
109.jpg,"[116.45643335459184, 116.04175302933673, 127.3173828125]",1,1045500,
11.jpg,"[119.00077726403062, 117.30321269132654, 128.41517857142858]",1,1304070,
110.jpg,"[116.96137595663265, 116.1610331632653, 127.3692402742347]",1,1090125,
111.jpg,"[116.74049346301021, 116.02459343112245, 127.42034040178571]",1,1108230,
112.jpg,"[116.55731823979592, 115.85879703443878, 127.22480867346938]",1,1227570,
113.jpg,"[116.6280293367347, 115.62940449617346, 126.80590322066327]",1,1209210,
114.jpg,"[115.5541693239796, 114.68383290816327, 125.6776347257653]",1,1251795,
115.jpg,"[115.27666613520408, 114.18472975127551, 125.35333625637755]",1,1238025,
116.jpg,"[115.29167330994898, 114.11577248086735, 125.34895169005102]",1,1279335,
117.jpg,"[115.08466198979592, 113.97419084821429, 124.96737484056122]",1,1224000,
118.jpg,"[114.53049266581633, 113.60210060586735, 124.21464445153062]",1,1211760,
119.jpg,"[114.46799266581633, 113.53800621811224, 124.09398915816327]",1,1215330,
12.jpg,"[118.97638313137755, 117.31509088010205, 128.35457190688774]",1,1305345,
120.jpg,"[115.62848772321429, 114.54354671556122, 125.1231465242347]",1,1243890,
121.jpg,"[116.15399792729592, 114.99031409438776, 125.58669483418367]",1,1220685,
122.jpg,"[116.2454759247449, 115.00145487882654, 125.93243781887755]",1,1149540,
123.jpg,"[116.36720742984694, 114.93315529336735, 125.91093351403062]",1,1161015,
124.jpg,"[115.91597576530613, 114.6895527742347, 125.08862802933673]",1,1256640,
125.jpg,"[116.68136160714286, 114.95434072066327, 125.70804767219387]",1,1198500,
126.jpg,"[118.35066565688776, 116.60363520408163, 127.25785235969387]",1,1254345,
127.jpg,"[119.46197385204081, 117.25916772959184, 128.32963966836735]",1,1219665,
128.jpg,"[120.56255978954081, 117.99830596301021, 129.66057477678572]",1,1140870,
129.jpg,"[121.15154655612245, 118.47391183035714, 130.31297831632654]",1,1148775,
13.jpg,"[118.92259247448979, 117.37579719387755, 128.11268335459184]",1,1284690,
130.jpg,"[121.82053172831633, 119.04171316964286, 130.9306640625]",1,1137810,
131.jpg,"[122.54876833545919, 119.75767299107143, 131.7605428890306]",1,1159740,
132.jpg,"[122.94060905612245, 119.96073820153062, 132.5447624362245]",1,1213545,
133.jpg,"[122.94060905612245, 119.96073820153062, 132.5447624362245]",1,1213545,
134.jpg,"[120.85399394132654, 118.26175860969387, 130.69604990433675]",1,1301775,
135.jpg,"[119.8764349489796, 117.56931600765306, 129.86916055484693]",1,1361190,
136.jpg,"[119.87673389668367, 117.61238440688776, 129.95043447066325]",1,1390515,
137.jpg,"[121.03121014030613, 118.6313177614796, 131.1935188137755]",1,1392810,
138.jpg,"[121.12970344387755, 118.58721301020408, 131.44296077806123]",1,1344615,
139.jpg,"[120.74451929209184, 118.27212213010205, 131.43825733418367]",1,1384395,
14.jpg,"[118.86433753188776, 117.39570711096938, 128.06004862882654]",1,1284435,
140.jpg,"[120.80873325892857, 118.61565290178571, 131.88498485331633]",1,1347165,
